timestamp,namada.indexer.max-02.is_up_to_date,namada.indexer.max-02.status,namada.indexer.max-02.sync_state,namada.indexer.max-02.version,namada.interface.max-02.is_up_to_date,namada.interface.max-02.status,namada.interface.max-02.version,namada.masp.max-02.is_up_to_date,namada.masp.max-02.status,namada.masp.max-02.sync_state,namada.masp.max-02.version,namada.rpc.max-02.is_up_to_date,namada.rpc.max-02.status,namada.rpc.max-02.sync_state,namada.rpc.max-02.version
2025-06-17T21:39:50.233421+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-17T22:15:03.331276+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T06:24:05.220417+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T07:16:29.572180+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T07:40:29.680763+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T08:22:09.339471+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T09:18:05.504291+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T11:14:28.928522+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T11:38:03.083161+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T14:16:16.052268+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T14:44:40.194178+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T15:17:53.363562+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T15:43:07.729773+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T17:16:13.366890+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T17:44:12.954572+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T09:17:41.241362+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T09:42:01.661851+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T10:17:31.620376+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T10:44:46.031535+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T12:33:32.425403+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T13:28:56.520118+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T22:15:08.278904+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T02:55:39.157956+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T08:23:21.749770+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T17:14:52.061966+00:00Z,True,up,sync_ok,3.2.0,False,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
